,0,1,2,3,4,5,6
25,0.9985249,0.9826435,0.14491177,0.9992865,0.9993642,0.99884945,0.9991717
26,0.99982303,0.9943385,0.11887529,0.9999423,0.9999556,0.99989134,0.99992305
27,0.99982303,0.9943385,0.11887529,0.9999423,0.9999556,0.99989134,0.99992305
28,0.9997902,0.9937223,0.11976753,0.9999259,0.9999435,0.9998704,0.99990904
29,0.9994782,0.9899821,0.12822308,0.9997804,0.99981636,0.99963105,0.99973434
30,0.9988331,0.9851276,0.13972902,0.9994744,0.9995229,0.9991247,0.99934185
31,0.9998387,0.9945634,0.118837856,0.9999476,0.9999608,0.99990404,0.99993247
32,0.9986452,0.9829303,0.14625196,0.9993162,0.99941134,0.9989682,0.9992436
33,0.9998793,0.99534655,0.119694225,0.9999652,0.9999743,0.99993044,0.99994946
34,0.99931884,0.9884293,0.13145852,0.9997012,0.99974436,0.9994997,0.99964225
35,0.9998277,0.99436986,0.118947804,0.99994284,0.999957,0.9998966,0.99992734
36,0.9998294,0.9944169,0.11888807,0.9999437,0.99995774,0.9998979,0.99992853
37,0.9927429,0.9586511,0.19131315,0.9959009,0.9960794,0.9940029,0.9952945
38,0.979909,0.9309596,0.22824807,0.9888778,0.98800755,0.98245287,0.98537433
39,0.99524033,0.9697344,0.17134522,0.997708,0.9976608,0.9961279,0.99697137
40,0.99979496,0.9938137,0.11961162,0.9999285,0.9999453,0.9998733,0.99991083
41,0.9968361,0.97583,0.15913478,0.99853677,0.99853677,0.9975711,0.99807274
42,0.99293065,0.96029115,0.18894944,0.9961635,0.99623245,0.9942107,0.99539745
43,0.99982285,0.99433535,0.11887722,0.99994224,0.99995553,0.9998912,0.99992293
44,0.9995982,0.9912159,0.1251295,0.9998367,0.999868,0.999727,0.99980646
45,0.9997544,0.9931408,0.12089107,0.999909,0.9999299,0.9998449,0.99989086
46,0.9978215,0.97995824,0.15065046,0.9990124,0.9990299,0.99828124,0.9986774
47,0.99359185,0.96469754,0.18021584,0.9968899,0.99674016,0.99476916,0.9958125
48,0.999559,0.9908812,0.12587853,0.9998222,0.9998514,0.99969184,0.9997774
49,0.99983615,0.99453527,0.118781745,0.99994683,0.99995995,0.99990183,0.999931
50,0.9998294,0.9943923,0.11894255,0.99994355,0.99995756,0.99989766,0.999928
51,0.9873119,0.94576335,0.20868455,0.9930379,0.9928127,0.9889899,0.99123067
52,0.9998818,0.99540883,0.119720526,0.999966,0.9999751,0.99993217,0.9999512
53,0.9987837,0.9840676,0.14364542,0.9994023,0.99948496,0.99908435,0.9993276
54,0.9998367,0.99453443,0.11883977,0.9999468,0.9999601,0.9999027,0.99993163
55,0.9997993,0.99391335,0.11941713,0.999931,0.9999471,0.99987584,0.99991256
56,0.9988916,0.9855686,0.13844487,0.9995085,0.9995506,0.999164,0.9993708
57,0.99980766,0.99403036,0.119296685,0.99993396,0.99995005,0.9998829,0.9999179
58,0.99336576,0.9646529,0.1790438,0.996883,0.99664676,0.9945832,0.9956344
59,0.99579054,0.97060573,0.16951065,0.99788547,0.9979192,0.99650764,0.9973462
60,0.9998024,0.9939712,0.119318336,0.9999328,0.9999481,0.99987715,0.9999131
61,0.9734042,0.9183416,0.24168111,0.9847965,0.9835913,0.9760132,0.98018575
62,0.99983054,0.9944418,0.11887123,0.9999449,0.99995804,0.9998972,0.9999272
63,0.9998383,0.9945629,0.118838385,0.9999477,0.9999606,0.99990314,0.99993163
64,0.999794,0.9937843,0.11967564,0.99992776,0.99994487,0.9998728,0.99991053
65,0.9998702,0.9951518,0.11931607,0.9999618,0.9999713,0.99992377,0.9999445
66,0.97136307,0.9147549,0.24547154,0.9835118,0.9821704,0.9740501,0.97851306
67,0.99321234,0.9603816,0.18931608,0.99620014,0.9963641,0.994481,0.99561936
68,0.9997997,0.99389035,0.119500056,0.9999304,0.99994713,0.9998773,0.99991393
69,0.9997066,0.9924811,0.122313745,0.9998861,0.9999119,0.9998115,0.9998681
70,0.99987185,0.99522686,0.11910543,0.99996144,0.9999719,0.99992657,0.9999482
71,0.99976045,0.9932433,0.12066732,0.99991196,0.9999323,0.9998493,0.99989414
72,0.999735,0.99292654,0.12122935,0.99990135,0.99992293,0.9998298,0.99988014
73,0.9859503,0.94271225,0.21254705,0.99227005,0.9919592,0.9876957,0.99019384
74,0.9996257,0.99150324,0.1244967,0.9998491,0.99987906,0.9997482,0.9998218
75,0.990635,0.95242417,0.20118223,0.9946188,0.9947636,0.99220574,0.9937446
76,0.99980515,0.9940026,0.119307525,0.9999336,0.99994904,0.9998797,0.9999151
77,0.9998037,0.99397993,0.119338,0.99993277,0.9999486,0.99987924,0.9999151
78,0.99919313,0.9876923,0.133506,0.99965155,0.99969065,0.999403,0.9995578
79,0.99982303,0.9943385,0.11887529,0.9999423,0.9999556,0.99989134,0.99992305
80,0.9957327,0.9696341,0.17168988,0.99776167,0.9978645,0.99648637,0.9973441
81,0.99980253,0.993952,0.11939025,0.9999321,0.99994814,0.9998785,0.9999146
82,0.9992738,0.98838896,0.13139042,0.9996928,0.9997284,0.9994628,0.99960804
83,0.99975616,0.9932416,0.120558776,0.9999121,0.9999307,0.9998431,0.9998883
84,0.9732976,0.9173877,0.2429581,0.9845009,0.9834255,0.9759854,0.9800974
85,0.9998784,0.9953454,0.11948181,0.9999645,0.999974,0.99993026,0.9999501
