day,month,Cardnum_minmax,Merchnum_log,Merch description_log,Merch state_log,amount_log,Fraud
3,9,0.25726068489620957,8.781709001187728,9.356516490773839,5.407172219890511,7.527481997153198,1
2,8,0.11874352451013692,8.672828500065112,8.910045774976123,5.3518586074096035,6.618405282985576,1
2,4,0.16456422329338238,9.472781564253884,9.081142444883653,5.347108006907831,6.553278061130428,1
2,1,0.24392185474243888,8.704170576335637,8.448486014828896,5.38449552150458,7.373612887851081,0
1,1,0.10116138411376596,7.812378246458055,4.11087550351623,5.176150297545421,4.262681285491028,0
1,1,0.043608861452412384,8.585599242757922,8.22496750570269,5.3518586074096035,3.520759574420242,0
5,3,0.1418667852822182,9.428511589703712,8.896451221042607,5.407172219890511,8.3193201588432,1
2,1,0.04717682222235453,8.512180669693196,8.425297198636716,5.379897814369847,3.3163690745858996,0
3,8,0.18951553846181923,9.369137392254876,9.071423084279804,5.38449552150458,6.662685725105258,1
2,1,0.2306155715514251,8.059908366173852,8.473241324785697,5.159055873927008,4.094346228887378,0
0,1,0.15279171571273764,9.10119493586863,5.950642813004359,5.3327192763570395,4.744932997928089,0
5,3,0.1418667852822182,8.180600975597809,8.155936366675034,5.38449552150458,8.543217619185953,1
5,5,0.1075934775881251,9.347490218841813,9.301459974472753,5.3518586074096035,6.840182933784087,1
2,1,0.25091945169151586,5.361292635192883,9.21801088820399,5.2522739516067025,6.354370214710379,0
5,5,0.009305719043368299,7.983440097112954,6.421622430408131,5.407172219890511,7.58479853460524,1
3,10,0.10031380696364067,8.666991573722262,8.46210324623099,5.3327192763570395,7.619670286911567,1
6,1,0.1072775008269673,8.53836744622861,8.939843137384663,5.267858674527113,4.330734656074939,0
1,1,0.053229201133945026,6.167516700531925,9.433243902487703,5.159055873927008,5.255671313610931,0
0,1,0.25091945169151586,8.856233570392234,8.880585537008766,5.2522739516067025,4.832465905110247,0
0,1,0.10841257614629285,9.060679609036178,9.370331116806641,5.159055873927008,7.300135215086392,0
1,8,0.2293014879378461,8.855378260302391,9.023649294716835,5.3327192763570395,5.275970014183723,1
0,1,0.06637274951299332,6.9920965193276485,9.436519319809667,5.3518586074096035,3.9162162016797635,0
5,5,0.21842130958066264,8.25166394968801,8.223627202629515,5.2522739516067025,7.2138199268158285,1
5,5,0.1075934775881251,9.347490218841813,9.301459974472753,5.3518586074096035,6.224657632275371,1
2,7,0.10728428144375357,8.670257584304563,9.309733124908089,5.3518586074096035,6.386071080367575,1
6,1,0.0807069742713793,9.072227081327604,6.872128204965923,5.262690707039466,6.84279010684197,0
1,12,0.06885852377763513,7.747596881870778,8.793460376224925,5.347108006907831,3.4101604266290955,1
3,2,1.0,8.129469794256673,8.187855471496569,5.379897814369847,6.505410447742915,1
1,1,0.25091945169151586,8.856233570392234,8.880585537008766,5.2522739516067025,4.957235220603773,0
2,1,0.05214294625875482,8.512180669693196,8.372398629629046,5.379897814369847,1.3480991219883478,0
0,7,0.09077483468809078,8.09955431274381,9.039670679783665,5.2522739516067025,7.194744686597009,1
0,1,0.18069666773317294,9.47684988685565,8.4555305522962,5.241747544160032,4.152457797852384,0
2,1,0.11480534204110882,9.2608433636568,7.158514075150329,5.3278766542263565,4.381902877016219,0
2,1,0.040390780530287884,8.637284689410844,7.124478343008719,5.398163154006339,6.482495696544557,0
2,1,0.17031825504818698,5.509388741486195,8.304494922703794,5.347108006907831,1.4110113636567272,0
4,8,0.18951553846181923,9.369137392254876,9.071423084279804,5.38449552150458,6.651132629849497,1
2,8,0.09781175921671093,7.846590014399516,8.130647997598322,5.2522739516067025,8.502550528974293,1
2,10,0.07755263114995614,9.233861576785062,8.058327338226526,5.220356365618719,7.310744056847229,1
5,6,0.001522926622783416,8.5716813956397,7.138073113472462,5.288267535744913,8.672730925981012,1
0,5,0.11894423077956162,9.45618431663161,8.578476438644271,5.398163154006339,4.761832850994263,1
0,8,0.11874352451013692,9.065198997868542,9.25979699020624,5.2730000713841285,7.184227328251414,1
0,7,0.13837341130056302,9.371268044596,8.409608003008014,5.379897814369847,3.47321101937059,1
5,3,0.1418667852822182,9.460086912874909,8.97461805111334,5.308268192450587,8.653271854490935,1
1,1,0.1719062755964842,9.072456676091218,8.621913520198168,5.262690707039466,6.419767052022484,0
2,4,0.16929573797460762,9.472781564253884,9.081142444883653,5.347108006907831,5.695044744971644,1
6,8,0.11874352451013692,9.19248186385506,9.012377131381447,5.3518586074096035,3.0061824794488103,1
2,1,0.25091945169151586,8.856233570392234,8.880585537008766,5.2522739516067025,6.543911989449674,0
0,1,0.05979961920002097,5.6801729503139375,7.843064055938521,5.2522739516067025,6.1484685095928375,0
2,1,0.2173120006073077,6.9920965193276485,9.436519319809667,5.3518586074096035,4.587821565153479,0
2,8,0.038151820730490726,9.306377569257426,8.810757941938192,5.3278766542263565,9.416555856643107,1
4,1,0.10929541250516195,8.704170576335637,8.448486014828896,5.38449552150458,5.387106786881321,0
3,8,0.04110952595328854,9.265964285183127,9.307739287035256,5.159055873927008,6.884527695212783,1
6,4,0.056902939532847086,9.065314611486619,8.628197767357841,5.398163154006339,6.6451431137898,1
